ID,Name,Age,Favorite Color
1,Maible Hal,,,lford,40,Red
2,Claiborn Skyppe,91,Yellow
3,Antonina Champe,79,Teal
4,Ellwood Talboy,82,Violet
5,Benedicto Chaffen,90,Aquamarine
6,Filip Mingard,89,Crimson
7,Alfons Hefforde,62,Orange
8,Mitchell Kattenhorn,84,Puce
9,Clemens Hurdis,84,Pink
10,Alanna Hanratty,63,Crimson
11,Hamil Littledike,48,Red
12,Elsie Copplestone,19,Goldenrod
13,Rozele Gaveltone,13,Red
14,Valida Zappel,98,Puce
15,Fayth Fitt,55,Indigo
16,Friedrick Kendrick,67,Aquamarine
17,Luciano Hanscombe,60,Maroon
18,Bessie Bladder,20,Aquamarine
19,Eleanore Caesmans,33,Violet
20,Donny Rubke,72,Red
21,Genia Tolossi,96,Teal
22,Hedda O'Fihily,51,Goldenrod
23,Cy Bricklebank,29,Blue
24,Juanita Ardling,72,Yellow
25,Clarey Gash,92,Green
26,Nikki Marrows,77,Blue
27,Ingemar Revance,19,Orange
28,Emelda Trass,61,Puce
29,Willard Hussy,28,Blue
30,Cam Mogridge,24,Crimson
31,Virgil Campana,58,Red
32,Kin Seago,95,Khaki
33,Herby Hargerie,91,Turquoise
34,Corbie Wragge,8,Aquamarine
35,Vic Farrance,21,Maroon
36,Jone Swadon,29,Purple
37,Catie Unworth,56,Turquoise
38,Care Minney,66,Pink
39,Erna Bing,5,Red
40,Garnette Dafter,10,Red
41,Loy Cauley,62,Aquamarine
42,Ibbie Ellson,98,Crimson
43,Hervey Gabbetis,77,Yellow
44,Barrett Gavan,11,Pink
45,Onfroi Flamank,56,Pink
46,Bobine Langstrath,6,Teal
47,Daisey Ancketill,5,Orange
48,Bidget Twinborne,72,Teal
49,Duky Dignon,94,Turquoise
50,Ed Meagher,51,Green
51,Dorothea Blacksland,1,Purple
52,Shell Hendrich,60,Orange
53,Dosi Davern,76,Maroon
54,Nonah Aldington,11,Violet
55,Gerrilee Yorath,5,Goldenrod
56,Gratiana Biesinger,90,Blue
57,Odelinda Etches,38,Goldenrod
58,Nissy Soppitt,38,Maroon
59,Rhonda Milson,36,Red
60,Xavier Fairpo,61,Red
61,Flinn Causley,32,Mauv
62,Woodie Witchell,74,Blue
63,Zachariah MacAfee,100,Turquoise
64,Sterling Tother,41,Maroon
65,Delilah St. Pierre,22,Pink
66,Zara Mc Faul,45,Maroon
67,Fanechka Pittendreigh,29,Mauv
68,Garrot Titmus,54,Crimson
69,Lyndy Denslow,43,Violet
70,Gabbi Starsmeare,33,Indigo
71,Gloriana Locarno,64,Indigo
72,Giustino Jozef,63,Violet
73,Gregorio Day,41,Indigo
74,Christopher Ridett,80,Khaki
75,Roz Jeffry,96,Orange
76,Casi Andrag,42,Yellow
77,Emogene Slee,54,Purple
78,Christine Kytley,11,Khaki
79,Pen O' Cuolahan,76,Fuscia
80,Gayler Cranch,81,Turquoise
81,Cristina Sowley,11,Khaki
82,Cris Pendrich,51,Purple
83,Wilone McArd,30,Turquoise
84,Marion Claeskens,48,Puce
85,Helaina Romanini,61,Green
86,Kathi Bess,17,Aquamarine
87,Cart Farrey,40,Puce
88,Aldo Tree,73,Violet
89,Kevin Coarser,9,Violet
90,Clement McIsaac,26,Puce
91,Kristal Chamley,45,Yellow
92,Kaiser Bartak,1,Purple
93,Cristi Guiver,29,Fuscia
94,Kory Skewis,35,Green
95,Karil Slany,68,Red
96,Niki Bumphrey,79,Puce
97,Miltie Sabati,71,Turquoise
98,Becki Lapley,60,Teal
